order_id,user_id,order_number,order_dow,order_hour_of_day,days_since_prior_order
2082508,630,12,5,13,4.0
3074622,630,13,5,10,7.0
2769783,630,14,5,13,7.0
297033,630,15,5,15,7.0
229851,630,16,4,15,6.0
552448,630,17,5,11,8.0
613916,630,18,5,13,7.0
1339818,630,19,5,10,7.0
1923777,630,20,5,14,7.0
738582,630,21,5,14,7.0
3340757,630,22,5,14,7.0
1532841,630,23,5,11,7.0
300587,630,24,5,11,7.0
2191132,630,25,5,14,14.0
1884710,630,26,5,13,7.0
712352,630,27,5,14,7.0
3210925,630,28,5,11,7.0
3010542,630,29,5,13,7.0
2839153,630,30,5,14,7.0
2443717,630,31,5,13,7.0
353844,630,32,5,12,7.0
834041,630,33,5,13,7.0
1423135,630,34,5,14,7.0
42111,630,35,5,12,7.0
3115102,630,36,5,12,7.0
3249059,630,37,4,14,6.0
2945381,630,38,5,13,15.0
1115922,630,39,5,12,7.0
3132330,630,40,5,14,7.0
84559,630,41,5,13,7.0
2360269,630,42,1,10,30.0
1786329,655,1,6,11,
1877827,655,2,6,16,0.0
2812451,655,3,2,8,3.0
55110,655,4,4,15,2.0
2264284,655,5,6,13,2.0
2211639,655,6,3,20,4.0
2199635,655,7,5,19,9.0
2421911,655,8,2,20,4.0
3039411,655,9,6,18,4.0
223619,655,10,0,10,1.0
2636975,655,11,0,9,7.0
642092,655,12,0,17,7.0
304178,655,13,2,19,2.0
568073,655,14,4,20,9.0
1840020,655,15,0,13,3.0
2794979,655,16,1,8,8.0
1558593,655,17,0,21,6.0
705035,655,18,3,19,3.0
515680,655,19,6,12,3.0
877163,655,20,2,19,3.0
3181490,655,21,0,8,5.0
2107937,655,22,1,14,8.0
3213908,655,23,6,10,5.0
384813,655,24,4,20,5.0
1525816,655,25,5,17,1.0
2764090,655,26,0,9,2.0
2081367,655,27,6,8,6.0
724571,655,28,3,20,4.0
301593,655,29,1,20,5.0
3142362,655,30,1,9,7.0
3340854,655,31,6,8,5.0
1870377,655,32,3,18,4.0
2612641,655,33,2,20,6.0
2390317,655,34,6,18,4.0
1671743,655,35,5,17,6.0
2941655,655,36,3,19,5.0
1081142,655,37,0,11,4.0
387777,655,38,3,18,3.0
1250907,655,39,6,19,3.0
2883097,655,40,1,19,2.0
650989,655,41,0,18,6.0
262830,655,42,0,19,7.0
1030569,655,43,1,18,8.0
1372521,655,44,5,9,4.0
1936692,655,45,3,10,5.0
2137218,655,46,3,7,7.0
1117825,655,47,5,20,2.0
815043,655,48,6,15,8.0
444334,655,49,0,10,8.0
2093732,655,50,2,19,16.0
1377778,655,51,6,13,4.0
2321247,655,52,5,17,6.0
1806443,655,53,3,21,5.0
558798,655,54,6,19,3.0
9667,655,55,1,19,2.0
596023,655,56,0,16,6.0
3144106,655,57,5,8,5.0
2006214,655,58,1,7,3.0
1951075,655,59,3,22,2.0
866718,655,60,4,11,8.0
1182728,655,61,1,16,4.0
2367986,655,62,5,17,4.0
2539384,655,63,0,19,2.0
1129759,655,64,0,18,7.0
3379677,655,65,6,10,6.0
1902651,655,66,4,17,5.0
1021308,655,67,0,14,3.0
2126163,655,68,5,16,5.0
214712,655,69,3,7,5.0
2965213,655,70,1,19,5.0
2767489,655,71,2,20,1.0
655300,655,72,6,19,4.0
742950,655,73,0,18,1.0
442516,655,74,2,18,9.0
3229403,655,75,0,18,5.0
1461946,655,76,2,19,2.0
3197813,655,77,5,20,3.0
2430327,655,78,5,18,7.0
1408873,655,79,0,9,2.0
905061,719,1,6,16,
3346521,719,2,6,16,7.0
2711375,719,3,6,10,7.0
3218377,719,4,2,8,3.0
24733,719,5,4,10,9.0
2470389,719,6,3,11,6.0
2032312,719,7,1,10,5.0
2468764,719,8,6,13,5.0
1758873,719,9,5,15,27.0
1927949,719,10,1,10,3.0
1823662,719,11,0,13,6.0
1402892,719,12,1,17,1.0
1412586,719,13,0,13,6.0
1717633,719,14,6,12,6.0
83354,719,15,2,16,3.0
576083,719,16,6,16,18.0
2270446,719,17,2,7,10.0
789970,719,18,3,10,8.0
668028,719,19,1,12,26.0
2189019,719,20,2,14,8.0
1527803,719,21,0,17,5.0
131697,719,22,6,11,6.0
2910729,719,23,0,12,1.0
339715,719,24,4,7,4.0
945286,719,25,0,15,3.0
3290222,719,26,1,13,1.0
947146,719,27,0,9,6.0
1300026,719,28,0,15,7.0
2232643,719,29,0,17,0.0
2724425,719,30,3,10,3.0
2585218,719,31,4,10,1.0
2853130,719,32,3,8,6.0
1909607,719,33,5,8,2.0
753429,719,34,0,9,2.0
2621848,719,35,3,12,3.0
650794,719,36,5,8,2.0
1463421,719,37,2,10,4.0
460468,719,38,6,8,4.0
771487,719,39,6,8,0.0
822072,719,40,1,14,2.0
2585207,719,41,6,11,5.0
3394797,719,42,3,16,30.0
1551104,719,43,4,16,1.0
1373346,719,44,0,14,3.0
3372262,719,45,4,13,4.0
1238871,719,46,5,18,1.0
1339527,719,47,2,14,4.0
3295764,719,48,3,7,1.0
1765504,719,49,1,13,5.0
376821,719,50,2,11,1.0
2429709,719,51,3,12,8.0
780202,719,52,4,11,8.0
2078479,719,53,1,10,4.0
252413,719,54,2,12,1.0
107975,719,55,6,13,4.0
1421796,719,56,1,16,2.0
1034720,719,57,4,9,3.0
3387983,719,58,2,10,5.0
1204970,719,59,6,9,4.0
1999019,719,60,0,11,1.0
1910078,719,61,3,16,3.0
792442,719,62,0,16,4.0
2419374,719,63,2,14,2.0
1558672,719,64,3,16,1.0
449408,719,65,0,19,4.0
2524630,719,66,3,17,3.0
254480,719,67,5,9,2.0
3135551,719,68,6,11,1.0
95274,719,69,0,13,8.0
2470812,719,70,1,16,1.0
2905578,719,71,0,14,6.0
2006691,719,72,4,17,4.0
3107150,719,73,6,19,2.0
2387732,762,1,2,12,
3316379,762,2,0,16,5.0
2353001,762,3,2,16,2.0
1253837,762,4,1,10,6.0
1559750,762,5,1,10,7.0
2389748,762,6,5,17,30.0
3203671,762,7,3,10,12.0
847170,762,8,5,21,2.0
860833,762,9,1,19,3.0
1891069,762,10,0,12,6.0
905298,762,11,1,10,8.0
1670646,762,12,4,15,24.0
1189023,762,13,2,20,5.0
241583,762,14,5,16,3.0
3166990,762,15,4,18,6.0
124932,762,16,0,15,3.0
3208553,762,17,4,18,4.0
2289845,762,18,2,18,5.0
1802590,762,19,1,20,13.0
2006860,762,20,4,16,3.0
1404863,762,21,2,18,5.0
154541,762,22,4,19,2.0
50539,762,23,2,18,5.0
836782,762,24,5,12,3.0
1843619,762,25,0,11,9.0
2339146,762,26,4,9,11.0
3252070,762,27,1,15,4.0
156591,762,28,3,17,9.0
265835,762,29,4,11,8.0
40919,762,30,2,13,12.0
504738,762,31,1,16,6.0
2190817,762,32,6,14,5.0
3303001,762,33,6,15,7.0
686427,762,34,4,20,5.0
2181116,762,35,2,18,5.0
2963308,762,36,1,14,13.0
140868,762,37,2,17,8.0
1164042,762,38,5,13,3.0
1560789,762,39,3,8,19.0
3139875,762,40,5,12,9.0
1934211,762,41,4,13,6.0
1842004,762,42,3,13,6.0
2252818,762,43,0,16,18.0
341637,762,44,1,14,1.0
308415,762,45,1,14,7.0
2083981,762,46,1,19,7.0
2688906,762,47,0,16,6.0
852090,771,1,4,16,
1564503,771,2,6,8,9.0
1115091,771,3,1,12,30.0
2318244,771,4,3,17,30.0
525193,791,1,4,10,
822443,791,2,6,10,2.0
2019482,791,3,4,13,5.0
3305801,791,4,4,18,0.0
1156666,791,5,0,9,3.0
758958,791,6,1,14,1.0
2684130,791,7,2,11,1.0
764355,791,8,2,10,7.0
895341,791,9,4,11,2.0
1902319,791,10,1,11,4.0
205848,791,11,2,14,8.0
3240249,791,12,3,13,1.0
305629,791,13,1,11,19.0
3089181,791,14,2,13,1.0
3183367,791,15,3,11,1.0
1777082,852,1,0,16,
868933,852,2,1,14,8.0
1775162,852,3,0,12,6.0
1636047,852,4,0,13,7.0
70579,852,5,2,17,16.0
1159751,852,6,4,12,9.0
2846761,852,7,4,20,7.0
2003459,852,8,0,10,10.0
3327249,852,9,1,17,15.0
2891678,852,10,0,14,6.0
131827,852,11,0,10,7.0
1181744,852,12,0,10,14.0
2773618,852,13,2,18,9.0
1904728,852,14,1,21,6.0
1157534,852,15,0,14,6.0
2777938,852,16,2,8,16.0
2195201,852,17,1,18,6.0
3067767,852,18,1,19,7.0
2318718,852,19,1,19,7.0
2495090,852,20,1,17,7.0
2925533,852,21,1,1,7.0
3203105,852,22,0,12,6.0
581567,852,23,6,12,13.0
3307690,852,24,6,10,7.0
2300035,852,25,2,18,17.0
2869677,852,26,0,11,12.0
620672,852,27,1,18,8.0
2731577,852,28,6,16,12.0
2413739,852,29,4,8,12.0
164905,852,30,2,14,26.0
1712546,852,31,2,18,7.0
2528310,852,32,2,17,7.0
1254631,852,33,3,17,8.0
2543583,852,34,1,17,5.0
1893603,852,35,1,18,7.0
3145099,852,36,2,19,22.0
430411,852,37,1,18,6.0
92317,852,38,0,19,13.0
2846765,864,1,0,8,
1653917,864,2,5,12,12.0
2819778,864,3,0,15,16.0
1653587,864,4,1,18,8.0
2235427,864,5,1,16,7.0
3306778,864,6,6,17,5.0
1913754,864,7,0,5,8.0
1057600,864,8,1,17,8.0
2864048,864,9,1,15,7.0
2318982,864,10,5,17,4.0
2257522,864,11,1,15,10.0
3029113,864,12,1,18,7.0
2264717,864,13,0,16,6.0
1121048,864,14,4,17,4.0
744283,864,15,2,16,5.0
177960,864,16,1,9,6.0
1481372,864,17,1,15,7.0
1456992,864,18,3,12,9.0
1514106,864,19,4,11,8.0
1074191,864,20,0,14,10.0
2121826,864,21,2,15,9.0
2650136,864,22,3,12,30.0
643977,864,23,2,11,27.0
2799174,864,24,2,17,7.0
408998,864,25,1,16,27.0
2902364,864,26,1,16,7.0
3334778,864,27,5,17,11.0
2994272,864,28,6,18,8.0
1805973,864,29,2,15,10.0
20460,864,30,4,12,9.0
2191687,933,1,0,7,
2442530,933,2,0,15,14.0
113585,933,3,3,16,17.0
1600142,933,4,0,13,11.0
3077860,933,5,1,16,8.0
1737328,933,6,0,12,6.0
774000,933,7,2,17,23.0
1546426,933,8,0,18,5.0
2992527,933,9,0,16,7.0
1488087,933,10,0,11,21.0
8913,933,11,0,14,7.0
714889,933,12,1,14,8.0
3032601,933,13,0,16,13.0
1567686,933,14,0,13,7.0
2540957,933,15,0,12,7.0
1501871,933,16,0,15,30.0
1374261,933,17,0,14,14.0
1704993,933,18,0,15,7.0
2050104,933,19,0,15,30.0
664402,933,20,1,14,8.0
3018521,933,21,0,12,6.0
2813562,933,22,0,12,21.0
558561,933,23,0,15,14.0
1797824,933,24,2,19,9.0
103603,933,25,0,11,5.0
897173,933,26,1,16,8.0
2576789,933,27,2,16,1.0
395951,933,28,6,12,4.0
93802,933,29,0,11,8.0
3102980,933,30,0,15,7.0
2898127,933,31,0,11,7.0
3016728,933,32,0,11,7.0
178268,933,33,0,17,7.0
378435,974,1,0,11,
2279953,974,2,6,12,20.0
1640322,974,3,1,14,30.0
1018845,974,4,6,8,30.0
2231316,974,5,4,8,30.0
2064764,974,6,5,8,30.0
3202493,974,7,6,10,30.0
700915,1075,1,1,16,
1720222,1075,2,3,12,2.0
1241677,1075,3,5,17,2.0
3376067,1075,4,1,13,3.0
2860277,1075,5,5,15,4.0
2069498,1075,6,2,15,4.0
2900359,1075,7,6,11,4.0
2014754,1075,8,2,16,3.0
3332960,1075,9,4,11,2.0
2928396,1075,10,0,9,3.0
1642760,1075,11,3,15,3.0
1302663,1075,12,6,8,3.0
1293227,1075,13,3,12,4.0
880552,1075,14,6,14,3.0
576581,1075,15,2,7,3.0
3004232,1075,16,0,9,5.0
3228360,1075,17,2,10,2.0
3273060,1075,18,5,8,3.0
336271,1075,19,0,15,2.0
3300942,1075,20,2,13,2.0
1803548,1075,21,4,13,2.0
1260738,1075,22,3,12,6.0
879707,1075,23,4,13,8.0
984373,1075,24,0,13,3.0
3412246,1075,25,2,8,2.0
2830619,1075,26,4,12,2.0
1100599,1075,27,5,11,1.0
2801403,1075,28,3,8,5.0
2897068,1075,29,6,10,3.0
2859191,1075,30,6,10,7.0
3045613,1075,31,0,11,1.0
1238506,1075,32,2,9,2.0
340710,1075,33,3,11,1.0
192878,1075,34,5,13,2.0
1678125,1075,35,0,9,2.0
2430099,1075,36,3,12,3.0
2654250,1075,37,5,9,2.0
2791974,1075,38,1,9,3.0
496299,1075,39,3,9,2.0
2449900,1075,40,5,9,2.0
1837580,1075,41,0,12,2.0
459279,1075,42,3,9,3.0
2978146,1075,43,4,10,1.0
584297,1075,44,6,9,2.0
2195153,1075,45,1,13,2.0
2303091,1075,46,4,10,3.0
1260683,1075,47,1,9,4.0
2083879,1075,48,2,10,1.0
268602,1075,49,3,12,1.0
1415587,1075,50,5,14,2.0
1052729,1075,51,5,11,7.0
1232510,1075,52,0,10,2.0
2918140,1075,53,0,9,7.0
3315000,1075,54,4,7,4.0
354978,1075,55,5,8,1.0
1083172,1075,56,6,11,1.0
1047147,1075,57,2,7,3.0
3009671,1075,58,4,8,2.0
1873133,1075,59,6,9,2.0
1371956,1075,60,0,11,1.0
170597,1075,61,4,10,4.0
3026963,1075,62,5,7,1.0
747386,1075,63,2,8,4.0
3258264,1075,64,4,10,2.0
1238525,1075,65,6,14,2.0
1299229,1075,66,0,11,1.0
1816958,1075,67,2,9,2.0
2250131,1075,68,4,16,2.0
1764692,1075,69,5,16,1.0
522824,1075,70,6,10,8.0
2560704,1075,71,1,10,2.0
94478,1075,72,1,9,7.0
2424421,1075,73,3,10,2.0
422981,1075,74,6,8,3.0
606695,1075,75,0,9,1.0
633248,1075,76,2,11,2.0
1921229,1075,77,4,9,2.0
1646174,1075,78,0,10,3.0
1303460,1075,79,6,9,6.0
526631,1075,80,2,10,3.0
575160,1075,81,6,21,4.0
575459,1075,82,2,19,3.0
3351567,1075,83,5,11,3.0
1052165,1075,84,4,15,6.0
1656131,1095,1,6,20,
3294079,1095,2,5,15,6.0
3176579,1095,3,0,16,9.0
1631405,1095,4,6,8,13.0
1732040,1095,5,0,12,8.0
15078,1095,6,2,23,23.0
1151020,1095,7,0,16,5.0
2221504,1095,8,1,10,22.0
1519145,1095,9,5,13,11.0
1302201,1095,10,0,17,9.0
476539,1095,11,0,17,14.0
3298171,1095,12,4,8,11.0
243796,1095,13,0,16,17.0
2053456,1095,14,0,13,14.0
2595572,1095,15,0,12,7.0
3266282,1095,16,3,22,10.0
1129185,1095,17,0,17,11.0
1084756,1095,18,2,20,16.0
1368180,1095,19,0,9,5.0
3134559,1095,20,6,16,13.0
3375153,1095,21,3,14,11.0
1535975,1095,22,4,17,8.0
767692,1095,23,1,19,4.0
3125588,1095,24,5,19,4.0
916111,1095,25,6,11,22.0
2686079,1095,26,3,16,4.0
265038,1095,27,3,22,7.0
2226059,1095,28,5,21,30.0
1043443,1095,29,0,11,9.0
239201,1095,30,3,20,10.0
2268383,1095,31,0,15,4.0
327915,1095,32,3,18,3.0
1224972,1112,1,2,14,
775044,1112,2,1,17,6.0
2937751,1112,3,0,16,13.0
2743601,1112,4,1,1,15.0
1484019,1112,5,3,17,30.0
3044875,1112,6,1,16,30.0
940587,1112,7,1,13,7.0
2352562,1112,8,4,18,24.0
2109996,1112,9,5,16,8.0
835745,1112,10,4,18,6.0
3365113,1112,11,3,18,13.0
356584,1112,12,0,12,30.0
2170383,1120,1,3,10,
1419234,1120,2,0,9,4.0
164680,1120,3,1,14,1.0
3367598,1120,4,3,9,2.0
998594,1120,5,5,18,2.0
1203395,1120,6,6,12,8.0
2952133,1120,7,1,12,2.0
2231630,1120,8,3,11,2.0
1657108,1120,9,0,17,11.0
2286024,1120,10,5,15,5.0
1308289,1120,11,0,12,2.0
3115438,1120,12,3,7,3.0
2477091,1120,13,0,9,4.0
1946012,1120,14,6,17,6.0
1895598,1120,15,4,12,12.0
1345642,1120,16,0,12,3.0
2852809,1120,17,2,10,2.0
3048775,1120,18,4,13,2.0
64421,1120,19,1,16,4.0
2019038,1120,20,4,16,3.0
2429103,1120,21,0,9,3.0
1828365,1120,22,2,9,2.0
380602,1120,23,4,14,2.0
2252559,1120,24,0,10,3.0
983350,1120,25,6,17,6.0
431987,1120,26,2,16,10.0
430237,1120,27,5,13,3.0
1453488,1120,28,0,15,2.0
3173030,1120,29,3,18,3.0
1755115,1120,30,0,18,4.0
3068979,1120,31,5,8,5.0
964484,1120,32,0,11,2.0
2895328,1120,33,3,16,3.0
396923,1120,34,5,13,2.0
677167,1120,35,0,14,2.0
2676390,1120,36,2,8,2.0
1581498,1120,37,6,12,4.0
50843,1120,38,1,9,2.0
1484464,1120,39,3,11,2.0
809950,1120,40,6,13,3.0
1150329,1120,41,0,12,8.0
2206347,1120,42,3,13,3.0
3247132,1120,43,5,10,2.0
464036,1120,44,0,12,2.0
1680708,1120,45,1,9,8.0
2218127,1120,46,3,12,2.0
2004495,1120,47,6,11,3.0
1155359,1120,48,2,8,3.0
2045406,1120,49,5,14,3.0
1676699,1120,50,0,14,2.0
307453,1120,51,0,7,7.0
1510848,1120,52,1,7,1.0
2323092,1120,53,4,14,3.0
2832797,1120,54,0,9,3.0
1895993,1120,55,2,8,2.0
15276,1120,56,5,11,3.0
1731843,1120,57,1,12,3.0
378229,1120,58,4,17,3.0
957344,1120,59,6,18,2.0
567134,1120,60,2,9,3.0
2229979,1120,61,4,14,2.0
2595463,1120,62,6,16,2.0
2047721,1120,63,2,16,30.0
3261178,1120,64,4,14,2.0
2593662,1120,65,0,15,3.0
1361940,1120,66,0,13,30.0
412331,1120,67,1,8,1.0
717524,1120,68,2,16,1.0
3360683,1120,69,5,8,3.0
2293377,1120,70,2,14,4.0
921134,1120,71,4,7,2.0
1743690,1120,72,6,15,2.0
2984875,1120,73,2,7,3.0
3353398,1120,74,6,7,4.0
1650233,1120,75,6,19,7.0
2118091,1153,1,1,13,
1823801,1153,2,0,16,13.0
112391,1153,3,0,11,30.0
1466862,1153,4,3,10,30.0
839345,1153,5,3,15,21.0
1049804,1153,6,0,9,30.0
1562811,1153,7,2,12,30.0
1444878,1178,1,3,10,
1336571,1178,2,0,11,30.0
967145,1178,3,0,13,30.0
2571540,1178,4,0,16,7.0
3167112,1178,5,0,11,21.0
2511595,1178,6,5,16,19.0
1818168,1178,7,0,13,30.0
985029,1178,8,6,9,20.0
1198410,1178,9,1,16,16.0
184666,1178,10,0,11,30.0
1534547,1178,11,5,16,30.0
2719212,1178,12,0,9,30.0
2411714,1225,1,3,22,
2108387,1225,2,0,10,4.0
1438919,1225,3,0,13,14.0
739346,1225,4,0,14,30.0
3098072,1225,5,6,13,20.0
19305,1225,6,0,10,15.0
2157648,1225,7,6,17,13.0
2970309,1225,8,6,18,7.0
2038815,1225,9,2,17,3.0
2602361,1225,10,0,19,5.0
238320,1225,11,1,10,22.0
1664929,1225,12,1,18,0.0
3379260,1225,13,5,20,4.0
316386,1225,14,2,10,4.0
3338926,1225,15,6,23,4.0
2625912,1225,16,3,7,4.0
1497845,1225,17,1,16,5.0
2295839,1225,18,1,12,28.0
2968634,1225,19,0,11,20.0
715837,1225,20,2,10,30.0
1863253,1225,21,3,9,8.0
2989706,1225,22,4,10,15.0
1891639,1225,23,6,11,2.0
2885813,1225,24,0,13,8.0
2729920,1225,25,0,16,14.0
2570986,1225,26,0,10,7.0
1417318,1225,27,0,12,30.0
1100637,1250,1,2,16,
1538855,1250,2,2,13,7.0
780149,1250,3,1,13,6.0
3212214,1250,4,1,14,21.0
2328954,1250,5,4,15,10.0
366476,1250,6,2,13,5.0
2609400,1250,7,2,10,14.0
2693391,1250,8,1,11,6.0
3081399,1250,9,5,11,4.0
2469699,1250,10,1,12,3.0
1354975,1250,11,5,10,4.0
990175,1250,12,4,12,6.0
2995887,1250,13,1,16,18.0
2029775,1250,14,5,9,4.0
90498,1250,15,4,9,6.0
1759973,1250,16,1,10,4.0
2281404,1250,17,1,12,14.0
1284612,1250,18,1,10,7.0
2557176,1250,19,4,15,3.0
2466315,1250,20,2,17,5.0
186448,1250,21,5,12,3.0
1094028,1250,22,1,12,3.0
2486668,1250,23,2,13,8.0
1961177,1250,24,1,14,13.0
1977225,1250,25,4,17,3.0
244749,1250,26,2,20,30.0
722851,1250,27,5,8,3.0
3126334,1250,28,2,10,4.0
2200905,1250,29,2,9,7.0
851257,1250,30,0,19,5.0
132882,1250,31,1,9,8.0
2205915,1250,32,3,15,2.0
1669839,1250,33,1,17,5.0
704690,1250,34,5,8,4.0
2399923,1250,35,3,10,5.0
2741368,1250,36,2,17,6.0
1079773,1250,37,3,14,1.0
1098901,1250,38,5,12,2.0
2126557,1250,39,1,22,3.0
2746212,1250,40,4,15,3.0
1842778,1250,41,2,10,5.0
438358,1250,42,4,11,2.0
2693089,1250,43,2,16,12.0
1666046,1250,44,4,14,2.0
3034119,1250,45,5,9,1.0
